Infant formula	Infant formula, liquid concentrate, made with plain bottled water (Similac Sensitive)	11710375	1.4
Infant formula	Infant formula, liquid concentrate, made with baby water (Similac Sensitive)	11710376	1.4
Infant formula	Infant formula, powder, made with tap water (Similac Sensitive)	11710377	1.4
Infant formula	Infant formula, powder, made with plain bottled water (Similac Sensitive)	11710378	1.4
Infant formula	Infant formula, powder, made with baby water (Similac Sensitive)	11710379	1.4
Infant formula	Infant formula, NS as to form (Similac for Spit-Up)	11710380	1.38
Infant formula	Infant formula, ready-to-feed (Similac for Spit-Up)	11710381	1.38
Infant formula	Infant formula, powder, made with water, NFS (Similac for Spit-Up)	11710383	1.38
Infant formula	Infant formula, NS as to form (Similac Expert Care NeoSure)	11710470	2.01
Infant formula	Infant formula, ready-to-feed (Similac Expert Care NeoSure)	11710471	2.01
Infant formula	Infant formula, powder, made with water, NFS (Similac Expert Care NeoSure)	11710473	2.01
Infant formula	Infant formula, powder, made with tap water (Similac Expert Care NeoSure)	11710477	2.01
Infant formula	Infant formula, powder, made with plain bottled water (Similac Expert Care NeoSure)	11710478	2.01
Infant formula	Infant formula, powder, made with baby water (Similac Expert Care NeoSure)	11710479	2.01
Infant formula	Infant formula, NS as to form (Similac Go and Grow)	11710480	1.98
Infant formula	Infant formula, powder, made with water, NFS (Similac Go and Grow)	11710481	1.98
Infant formula	Infant formula, NS as to form (Enfamil Newborn)	11710620	1.38
Infant formula	Infant formula, ready-to-feed (Enfamil Newborn)	11710621	1.38
Infant formula	Infant formula, powder, made with water, NFS (Enfamil Newborn)	11710626	1.38
Infant formula	Infant formula, powder, made with tap water (Enfamil Newborn)	11710627	1.38
Infant formula	Infant formula, powder, made with plain bottled water (Enfamil Newborn)	11710628	1.38
Infant formula	Infant formula, powder, made with baby water (Enfamil Newborn)	11710629	1.38
Infant formula	Infant formula, NS as to form (Enfamil Infant)	11710630	1.4
Infant formula	Infant formula, ready-to-feed (Enfamil Infant)	11710631	1.4
Infant formula	Infant formula, liquid concentrate, made with water, NFS (Enfamil Infant)	11710632	1.4
Infant formula	Infant formula, liquid concentrate, made with tap water (Enfamil Infant)	11710633	1.4
Infant formula	Infant formula, liquid concentrate, made with plain bottled water (Enfamil Infant)	11710634	1.4
Infant formula	Infant formula, liquid concentrate, made with baby water (Enfamil Infant)	11710635	1.4
Infant formula	Infant formula, powder, made with water, NFS (Enfamil Infant)	11710636	1.4
Infant formula	Infant formula, powder, made with tap water (Enfamil Infant)	11710637	1.4
Infant formula	Infant formula, powder, made with plain bottled water (Enfamil Infant)	11710638	1.4
Infant formula	Infant formula, powder, made with baby water (Enfamil Infant)	11710639	1.4
Infant formula	Infant formula, NS as to form (Enfamil A.R.)	11710660	1.6
Infant formula	Infant formula, ready-to-feed (Enfamil A.R.)	11710661	1.6
Infant formula	Infant formula, powder, made with water, NFS (Enfamil A.R.)	11710663	1.6
Infant formula	Infant formula, powder, made with tap water (Enfamil A.R.)	11710664	1.6
Infant formula	Infant formula, NS as to form (Enfamil EnfaCare)	11710665	2.0
Infant formula	Infant formula, ready-to-feed (Enfamil EnfaCare)	11710666	2.0
Infant formula	Infant formula, powder, made with water, NFS (Enfamil EnfaCare)	11710667	2.0
Infant formula	Infant formula, powder, made with plain bottled water (Enfamil A.R.)	11710668	1.6
Infant formula	Infant formula, powder, made with baby water (Enfamil A.R.)	11710669	1.6
Infant formula	Infant formula, NS as to form (Enfamil Gentlease)	11710670	1.53
Infant formula	Infant formula, ready-to-feed (Enfamil Gentlease)	11710671	1.53
Infant formula	Infant formula, powder, made with water, NFS (Enfamil Gentlease)	11710673	1.53
Infant formula	Infant formula, powder, made with tap water (Enfamil EnfaCare)	11710674	2.0
Infant formula	Infant formula, powder, made with plain bottled water (Enfamil EnfaCare)	11710675	2.0
Infant formula	Infant formula, powder, made with baby water (Enfamil EnfaCare)	11710676	2.0
Infant formula	Infant formula, powder, made with tap water (Enfamil Gentlease)	11710677	1.53
Infant formula	Infant formula, powder, made with plain bottled water (Enfamil Gentlease)	11710678	1.53
Infant formula	Infant formula, powder, made with baby water (Enfamil Gentlease)	11710679	1.53
Infant formula	Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions)	11710680	1.72
Infant formula	Infant formula, ready-to-feed (Enfamil Enfragrow Toddler Transitions)	11710681	1.72
Infant formula	Infant formula, powder, made with water, NFS (Enfamil Enfragrow Toddler Transitions)	11710683	3.03
Infant formula	Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions)	11710687	1.72
Infant formula	Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions)	11710688	1.72
Infant formula	Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions)	11710689	1.72
Infant formula	Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Gentlease)	11710690	1.7
Infant formula	Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Gentlease)	11710693	1.7
Infant formula	Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions Gentlease)	11710697	1.7
Infant formula	Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)	11710698	1.7
Infant formula	Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions Gentlease)	11710699	1.7
Infant formula	Infant formula, NS as to form (PediaSure)	11710800	2.86
Infant formula	Infant formula, ready-to-feed (PediaSure)	11710801	2.86
Infant formula	Infant formula, with fiber, NS as to form (PediaSure Fiber)	11710805	2.8
Infant formula	Infant formula, with fiber, ready-to-feed (PediaSure Fiber)	11710806	2.8
Infant formula	Infant formula, NS as to form (Gerber Good Start Gentle)	11710910	1.48
Infant formula	Infant formula, ready-to-feed (Gerber Good Start Gentle)	11710911	1.48
Infant formula	Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Gentle)	11710912	1.48
Infant formula	Infant formula, powder, made with water, NFS (Gerber Good Start Gentle)	11710913	1.48
Infant formula	Infant formula, liquid concentrate, made with tap water (Gerber Good Start Gentle)	11710914	1.48
Infant formula	Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Gentle)	11710915	1.48
Infant formula	Infant formula, liquid concentrate, made with baby water (Gerber Good Start Gentle)	11710916	1.48
Infant formula	Infant formula, powder, made with tap water (Gerber Good Start Gentle)	11710917	1.48
Infant formula	Infant formula, powder, made with plain bottled water (Gerber Good Start Gentle)	11710918	1.48
Infant formula	Infant formula, powder, made with baby water (Gerber Good Start Gentle)	11710919	1.48
Infant formula	Infant formula, NS as to form (Gerber Good Start Protect)	11710920	1.48
Infant formula	Infant formula, powder, made with water, NFS (Gerber Good Start Protect)	11710923	1.48
Infant formula	Infant formula, powder, made with tap water (Gerber Good Start Protect)	11710927	1.48
Infant formula	Infant formula, powder, made with plain bottled water (Gerber Good Start Protect)	11710928	1.48
Infant formula	Infant formula, powder, made with baby water (Gerber Good Start Protect)	11710929	1.48
Infant formula	Infant formula, NS as to form (Gerber Graduates Gentle)	11710930	1.41
Infant formula	Infant formula, NS as to form (Gerber Graduates Protect)	11710940	1.41
Infant formula	Infant formula, NS as to form (Store Brand)	11710960	1.38
Infant formula	Infant formula, liquid concentrate, made with water, NFS (Store Brand)	11710961	1.38
Infant formula	Infant formula, powder, made with water, NFS (Store Brand)	11710962	1.38
Infant formula	Infant formula, ready-to-feed (Store Brand)	11710963	1.38
Infant formula	Infant formula, liquid concentrate, made with tap water (Store Brand)	11710964	1.38
Infant formula	Infant formula, liquid concentrate, made with plain bottled water (Store Brand)	11710965	1.38
Infant formula	Infant formula, liquid concentrate, made with baby water (Store Brand)	11710966	1.38
Infant formula	Infant formula, powder, made with tap water (Store Brand)	11710967	1.38
Infant formula	Infant formula, powder, made with plain bottled water (Store Brand)	11710968	1.38
Infant formula	Infant formula, powder, made with baby water (Store Brand)	11710969	1.38
Infant formula	Infant formula, NS as to form (Enfamil ProSobee)	11720310	1.62
Infant formula	Infant formula, ready-to-feed (Enfamil ProSobee)	11720311	1.62
Infant formula	Infant formula, liquid concentrate, made with water, NFS (Enfamil ProSobee)	11720312	1.62
Infant formula	Infant formula, powder, made with water, NFS (Enfamil ProSobee)	11720313	1.62
Infant formula	Infant formula, liquid concentrate, made with tap water (Enfamil ProSobee)	11720314	1.62
Infant formula	Infant formula, liquid concentrate, made with plain bottled water (Enfamil ProSobee)	11720315	1.62
Infant formula	Infant formula, liquid concentrate, made with baby water (Enfamil ProSobee)	11720316	1.62
Infant formula	Infant formula, powder, made with tap water (Enfamil ProSobee)	11720317	1.62
Infant formula	Infant formula, powder, made with plain bottled water (Enfamil ProSobee)	11720318	1.62
Infant formula	Infant formula, powder, made with baby water (Enfamil ProSobee)	11720319	1.62
Infant formula	Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Soy)	11720320	2.07
Infant formula	Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Soy)	11720323	2.07
Infant formula	Infant formula, NS as to form (Similac Isomil Soy)	11720410	1.58
Infant formula	Infant formula, ready-to-feed (Similac Isomil Soy)	11720411	1.58
Infant formula	Infant formula, liquid concentrate, made with water, NFS (Similac Isomil Soy)	11720412	1.58
Infant formula	Infant formula, powder, made with water, NFS (Similac Isomil Soy)	11720413	1.58
Infant formula	Infant formula, liquid concentrate, made with tap water (Similac Isomil Soy)	11720414	1.58
Infant formula	Infant formula, liquid concentrate, made with plain bottled water (Similac Isomil Soy)	11720415	1.58
Infant formula	Infant formula, liquid concentrate, made with baby water (Similac Isomil Soy)	11720416	1.58
Infant formula	Infant formula, powder, made with tap water (Similac Isomil Soy)	11720417	1.58
Infant formula	Infant formula, powder, made with plain bottled water (Similac Isomil Soy)	11720418	1.58
Infant formula	Infant formula, powder, made with baby water (Similac Isomil Soy)	11720419	1.58
